bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,l1area,l2area,l3area,yearsstand,yearsrenovated
4,1.75,2360,6000,1,0,0,3,7,1280,1080,47.6465,-122.357,1700,3460,8360,5160,2360,60,60
3,2.75,3510,92347,2,0,0,3,10,3510,0,47.3735,-122.018,2970,37070,95857,40040,3510,25,25
2,1,1020,5000,1,0,0,4,7,1020,0,47.6781,-122.363,1480,5000,6020,6480,1020,98,98
2,2.5,1410,1281,2,0,0,3,8,1090,320,47.5659,-122.37,1410,2550,2691,3960,1410,7,7
3,2.5,2010,6857,1,0,0,4,9,1450,560,47.6402,-122.314,2380,6370,8867,8750,2010,59,59
4,1.75,1970,10358,1,0,0,3,8,1540,430,47.7719,-122.255,1900,10358,12328,12258,1970,37,37
3,1,1010,7633,1,0,0,4,6,1010,0,47.3781,-122.314,1190,8386,8643,9576,1010,53,53
5,1,1810,11205,1,0,2,3,7,1810,0,47.5099,-122.262,1860,7965,13015,9825,1810,99,99
3,2.5,2000,8057,1,0,0,3,8,1360,640,47.3724,-122.107,2530,8964,10057,11494,2000,17,17
3,1,1500,3920,1,0,0,3,7,1000,500,47.6718,-122.359,1640,4017,5420,5657,1500,67,67
4,2.25,2020,5800,1,0,3,4,9,1760,260,47.6471,-122.412,3100,5800,7820,8900,2020,73,73
3,2.5,2040,3810,2,0,0,3,8,2040,0,47.3537,-122,2370,4590,5850,6960,2040,9,9
4,3.75,5850,35070,2,0,0,4,12,4410,1440,47.5485,-122.124,4830,36200,40920,41030,5850,25,25
2,1.75,1530,5000,2,0,0,4,7,1260,270,47.6755,-122.37,1470,5000,6530,6470,1530,26,26
3,2,1800,12669,1,0,0,3,7,1800,0,47.6935,-122.173,1970,9775,14469,11745,1800,58,24
4,2.5,2780,11904,1,0,1,5,8,1730,1050,47.6209,-122.216,3590,13860,14684,17450,2780,64,64
3,2,1460,9759,1,0,0,5,7,1460,0,47.6644,-122.144,1620,8421,11219,10041,1460,42,42
3,1,1570,7727,1,0,2,4,8,1270,300,47.4821,-122.192,2440,7727,9297,10167,1570,57,57
5,2.5,2410,8960,1,0,0,5,7,1600,810,47.7372,-122.2,2410,11514,11370,13924,2410,36,36
3,2.5,1710,1296,3,0,0,3,8,1510,200,47.6963,-122.342,1610,1282,3006,2892,1710,10,10
3,2,1720,10098,1,0,0,4,8,1140,580,47.6231,-122.043,1840,10098,11818,11938,1720,34,34
4,3,3180,4649,2,0,0,4,9,2070,1110,47.6583,-122.273,2720,5980,7829,8700,3180,89,89
3,2,1580,4010,1,0,0,4,7,790,790,47.6769,-122.371,1350,5350,5590,6700,1580,105,105
3,2.5,2970,11985,1,0,0,3,9,1770,1200,47.6359,-122.052,2990,12049,14955,15039,2970,19,19
3,2.5,2430,5715,2,0,0,3,7,2430,0,47.3718,-122.168,3040,5702,8145,8742,2430,16,16
1,1,970,7639,1,0,0,4,5,570,400,47.4655,-122.346,1360,7380,8609,8740,970,95,95
4,1.5,2440,8040,1,0,0,4,8,1440,1000,47.7081,-122.374,2140,7920,10480,10060,2440,64,64
2,1,1090,6771,1,0,0,3,6,1090,0,47.5185,-122.352,1200,4992,7861,6192,1090,60,60
4,1,1480,3750,1,0,0,4,7,1480,0,47.6737,-122.354,1570,3750,5230,5320,1480,103,103
2,1,828,4524,1,0,0,3,6,828,0,47.2655,-122.244,828,5402,5352,6230,828,47,8
2,1.75,1570,1108,3,0,0,3,9,1570,0,47.6215,-122.2,1940,1160,2678,3100,1570,8,8
