bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,l1area,l2area,l3area,yearsstand,yearsrenovated
3,1.75,1670,8511,1,0,0,3,7,1340,330,47.3257,-122.276,1580,7218,10181,8798,1670,34,34
4,2.5,1921,4888,2,0,0,3,7,1921,0,47.2689,-122.24,1921,9140,6809,11061,1921,10,10
4,2.5,3710,15935,1,0,0,3,10,2130,1580,47.3528,-122.267,3674,17913,19645,21587,3710,14,14
3,1,1510,17040,1,0,0,4,6,1510,0,47.2649,-122.285,1520,14000,18550,15520,1510,44,44
3,1.5,1370,9800,1,0,0,5,7,1370,0,47.3068,-122.27,1370,9800,11170,11170,1370,51,51
5,3,2300,8214,2,0,0,3,8,2300,0,47.3052,-122.276,2594,4950,10514,7544,2300,6,6
3,2.5,1322,6006,2,0,0,3,7,1322,0,47.2706,-122.254,1440,6796,7328,8236,1322,10,10
3,2.25,2060,47318,1,0,2,4,8,1600,460,47.2758,-122.265,1870,19663,49378,21533,2060,43,43
4,2.5,2160,8005,2,0,0,3,7,2160,0,47.2668,-122.231,1790,8016,10165,9806,2160,26,26
4,2.5,2789,3960,2,0,0,3,7,2789,0,47.3059,-122.28,2547,3960,6749,6507,2789,12,12
3,1,1320,9000,1,0,0,3,7,1320,0,47.3461,-122.272,1320,9800,10320,11120,1320,53,53
4,2.5,2160,8049,2,0,0,3,9,2160,0,47.3337,-122.26,2490,8995,10209,11485,2160,31,31
5,2.5,2406,7093,2,0,0,3,8,2406,0,47.2615,-122.252,1767,7093,9499,8860,2406,13,13
3,1.5,1800,9216,1,0,0,4,7,1800,0,47.2739,-122.249,1400,10022,11016,11422,1800,69,69
3,1.75,1840,16679,1,0,0,3,8,1840,0,47.3207,-122.275,1910,15571,18519,17481,1840,30,30
3,2.5,1580,8541,2,0,0,3,7,1580,0,47.3334,-122.289,1640,7542,10121,9182,1580,29,29
4,2.5,1934,5677,2,0,0,3,8,1934,0,47.2602,-122.252,1919,5049,7611,6968,1934,6,6
2,1.75,870,18537,1,0,0,4,6,870,0,47.275,-122.278,1300,22800,19407,24100,870,73,73
3,1.75,1620,37913,2,0,0,4,7,1620,0,47.2875,-122.289,2190,21518,39533,23708,1620,66,39
4,2.5,2250,9091,1,0,0,3,7,1340,910,47.336,-122.269,1540,7802,11341,9342,2250,37,37
4,2.5,2233,6025,2,0,0,3,7,2233,0,47.2599,-122.256,1544,6036,8258,7580,2233,7,7
3,2.5,1970,9607,2,0,0,3,7,1090,880,47.3462,-122.286,2020,9608,11577,11628,1970,31,31
3,2.5,1560,4800,2,0,0,4,7,1560,0,47.2653,-122.285,1510,12240,6360,13750,1560,45,45
4,2.75,2140,9920,2,0,0,3,8,2140,0,47.3529,-122.274,2130,9920,12060,12050,2140,26,26
3,2.5,1794,4769,2,0,0,3,7,1794,0,47.3052,-122.283,3557,4807,6563,8364,1794,14,14
3,2.5,2220,20531,2,0,0,3,8,2220,0,47.2864,-122.264,2420,19249,22751,21669,2220,21,21
4,2.5,2240,4800,2,0,0,3,8,2240,0,47.2911,-122.266,2240,5040,7040,7280,2240,5,5
3,1,1360,20000,1,0,0,4,7,1360,0,47.2861,-122.253,1530,9997,21360,11527,1360,66,66
4,2.5,2900,6918,2,0,0,3,8,2900,0,47.3504,-122.284,2720,10376,9818,13096,2900,18,18
5,2,1590,9350,1,0,0,5,7,1060,530,47.3398,-122.286,1460,8210,10940,9670,1590,57,57
2,1,910,22000,1,0,0,3,6,910,0,47.2777,-122.252,1326,9891,22910,11217,910,63,63
4,2.75,1830,6643,2,0,0,3,8,1830,0,47.2601,-122.286,2400,6472,8473,8872,1830,18,18
3,1.5,1580,14040,1,0,0,3,7,1050,530,47.2932,-122.267,2240,12000,15620,14240,1580,39,39
4,2.25,2190,9113,2,0,0,3,7,2190,0,47.3241,-122.275,1570,8306,11303,9876,2190,33,33
3,1.75,2180,9220,1,0,0,4,7,1090,1090,47.3547,-122.285,2050,22400,11400,24450,2180,81,81
2,1,1000,16524,1,0,0,3,5,1000,0,47.2841,-122.255,1350,10208,17524,11558,1000,106,106
3,1.5,1000,18568,1,0,0,3,6,1000,0,47.2976,-122.271,1610,17420,19568,19030,1000,30,30
4,3.5,3828,18900,2,0,0,3,9,3828,0,47.2851,-122.277,2120,18900,22728,21020,3828,5,5
4,2.5,4073,17334,2,0,0,3,8,4073,0,47.2949,-122.27,1780,9625,21407,11405,4073,11,11
3,1.75,1300,6318,1,0,0,3,7,1300,0,47.2752,-122.251,1150,8002,7618,9152,1300,39,39
3,2,1790,7879,1,0,0,3,7,1790,0,47.2634,-122.289,1790,7879,9669,9669,1790,21,21
4,2.5,2240,6944,1,0,2,3,7,1310,930,47.338,-122.258,1780,7477,9184,9257,2240,40,40
4,2.75,2140,10316,2,0,0,3,8,2140,0,47.3537,-122.274,1920,11337,12456,13257,2140,26,26
4,2,1910,4225,1,0,0,4,6,910,1000,47.3084,-122.234,1060,4800,6135,5860,1910,100,100
3,1.75,1610,7392,1,0,0,4,7,1610,0,47.3413,-122.28,1450,7392,9002,8842,1610,55,55
4,2.5,2891,6499,2,0,0,3,9,2891,0,47.3359,-122.257,2550,8383,9390,10933,2891,5,5
3,1,1580,7560,1,0,0,4,7,1000,580,47.3318,-122.277,1580,7560,9140,9140,1580,43,43
3,1,1070,22489,1,0,0,3,7,1070,0,47.3278,-122.262,1880,20250,23559,22130,1070,52,52
4,2.5,3380,75794,2,0,0,3,10,3380,0,47.3511,-122.266,3710,17913,79174,21623,3380,22,22
4,3,2163,5883,2,0,0,3,7,2163,0,47.2734,-122.251,1700,10143,8046,11843,2163,13,13
4,2.5,2301,6452,2,0,0,3,9,2301,0,47.346,-122.269,2650,6054,8753,8704,2301,9,9
3,2,1560,7352,1,0,0,3,6,1560,0,47.2804,-122.251,1120,7950,8912,9070,1560,27,27
3,1,1980,18730,1,0,0,4,7,1280,700,47.3221,-122.282,1356,9450,20710,10806,1980,76,76
4,2.5,2600,8572,2,0,0,3,8,2600,0,47.3155,-122.266,2170,5288,11172,7458,2600,16,16
4,2.25,2710,22860,1,0,0,4,7,1850,860,47.3207,-122.266,1700,22860,25570,24560,2710,57,57
3,1.5,1220,7300,1,0,0,3,7,1220,0,47.3341,-122.279,1260,7347,8520,8607,1220,46,46
3,2,1630,8018,1,0,0,3,7,1630,0,47.2638,-122.243,1610,8397,9648,10007,1630,16,16
5,2.75,3220,8160,2,0,0,3,9,3220,0,47.3154,-122.254,2876,11521,11380,14397,3220,20,20
4,2.5,2160,9528,2,0,0,3,9,2160,0,47.3341,-122.255,2280,9937,11688,12217,2160,27,27
2,2.75,1770,10534,1,0,0,3,8,1210,560,47.2773,-122.276,1600,17400,12304,19000,1770,16,16
4,3,2050,4000,2,0,0,3,8,2050,0,47.3525,-122.275,2050,4000,6050,6050,2050,5,5
3,2.5,2120,22482,1,0,0,5,7,1360,760,47.341,-122.265,2330,16016,24602,18346,2120,40,40
