bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,l1area,l2area,l3area,yearsstand,yearsrenovated
4,2.25,3180,9600,2,0,0,3,10,3180,0,47.6313,-122.045,2840,10739,12780,13579,3180,31,31
4,4.5,3780,6000,2,0,4,4,11,2770,1010,47.5922,-122.388,2660,6000,9780,8660,3780,105,38
3,2.5,2330,9160,2,0,0,3,9,2330,0,47.5467,-122.181,2460,9160,11490,11620,2330,18,18
2,2.25,1190,1499,2,0,0,3,9,1100,90,47.6666,-122.285,1430,1332,2689,2762,1190,11,11
4,1.75,2530,5000,1,0,2,5,8,2070,460,47.6624,-122.348,1950,3600,7530,5550,2530,97,97
3,2,1900,9513,1,0,0,3,8,1900,0,47.2843,-122.357,1790,8028,11413,9818,1900,19,19
4,1.75,1400,7920,1,0,0,3,7,1400,0,47.4658,-122.184,1910,7700,9320,9610,1400,52,52
3,2.5,1690,4500,1,0,1,4,8,1690,0,47.5841,-122.383,2140,7200,6190,9340,1690,86,86
7,3.5,3890,8342,2,0,4,3,9,2840,1050,47.7011,-122.392,2870,8342,12232,11212,3890,47,47
3,3.5,4660,5500,2,0,4,5,10,3040,1620,47.6465,-122.319,2980,5500,10160,8480,4660,105,105
6,2.5,4410,14034,1,0,2,4,9,2350,2060,47.3376,-122.324,2600,13988,18444,16588,4410,49,49
3,2.5,1910,5125,2,0,0,3,9,1910,0,47.5481,-121.995,1910,3215,7035,5125,1910,8,8
4,2.25,2620,8100,1,0,0,4,7,1550,1070,47.4564,-122.351,1650,8100,10720,9750,2620,50,50
6,1.5,1680,5202,1,0,0,2,7,1680,0,47.6798,-122.206,1890,5500,6882,7390,1680,104,104
3,1,980,5600,1,0,0,2,6,980,0,47.5308,-122.361,1840,5302,6580,7142,980,66,66
6,4.5,5740,10312,2,0,2,3,11,3610,2130,47.5533,-122.11,4350,11917,16052,16267,5740,15,15
3,1.75,1620,5500,1,0,0,3,7,1110,510,47.6393,-122.308,2100,6500,7120,8600,1620,64,64
4,2.5,1740,7895,2,0,0,3,7,1740,0,47.3401,-122.282,1720,6813,9635,8533,1740,15,15
5,3,2870,4369,2,0,0,3,8,2090,780,47.7449,-122.192,2640,4610,7239,7250,2870,7,7
3,1,1060,20040,1,0,0,3,6,1060,0,47.7281,-122.235,1768,10800,21100,12568,1060,72,72
4,2.25,2940,20384,2,0,0,4,9,2940,0,47.6214,-122.227,3410,19910,23324,23320,2940,45,45
3,2.25,1520,1221,3,0,0,3,8,1520,0,47.674,-122.377,1550,4750,2741,6300,1520,1,1
3,2.5,2060,5750,1,0,0,3,7,1330,730,47.5671,-122.391,1920,5750,7810,7670,2060,38,38
4,1.75,1630,3000,1,0,0,3,7,930,700,47.5961,-122.305,1630,3000,4630,4630,1630,36,36
4,2.5,3270,24750,1,0,0,4,8,1690,1580,47.5221,-122.178,1520,13480,28020,15000,3270,36,36
4,2.25,2720,18295,1,0,0,4,8,2000,720,47.5851,-122.073,2720,18295,21015,21015,2720,35,35
3,1.75,2300,12000,1,0,0,3,8,1770,530,47.7599,-122.343,2030,6000,14300,8030,2300,72,72
3,1,1640,7187,1,0,0,3,7,1640,0,47.455,-122.182,1340,8346,8827,9686,1640,48,48
3,2.5,2360,11254,1,0,2,3,9,2360,0,47.3356,-122.333,2390,11254,13614,13644,2360,24,24
4,2,2360,6000,1,0,0,5,7,1260,1100,47.6534,-122.41,1720,6000,8360,7720,2360,75,75
2,2.75,2090,23962,2,0,3,4,8,2090,0,47.4145,-122.44,1820,32340,26052,34160,2090,27,27
5,1.75,1920,6500,1,0,0,3,7,1260,660,47.6394,-122.308,1970,5500,8420,7470,1920,63,63
3,2.25,1190,1200,3,0,0,3,8,1190,0,47.6542,-122.346,1180,1224,2390,2404,1190,7,7
3,2.5,1380,1389,3,0,0,3,8,1380,0,47.6427,-122.327,1380,1249,2769,2629,1380,6,6
4,2.25,1950,6000,1,0,0,3,7,1350,600,47.6909,-122.301,1980,6000,7950,7980,1950,54,54
5,2,1700,7314,1,0,0,3,7,1000,700,47.549,-122.305,2000,7176,9014,9176,1700,58,58
4,1.75,1900,10454,1,0,0,4,7,1180,720,47.5933,-122.195,2060,11325,12354,13385,1900,61,61
3,2.25,1750,8400,1,0,0,3,7,1350,400,47.4571,-122.272,2020,9110,10150,11130,1750,49,49
3,2.5,2260,3640,2,0,0,3,8,2260,0,47.7356,-122.157,2350,3710,5900,6060,2260,21,21
4,1,1460,16638,1,0,0,4,6,1460,0,47.3431,-122.048,1460,16638,18098,18098,1460,40,40
4,2.5,2320,11259,2,0,0,3,9,2320,0,47.6443,-122.194,2820,11770,13579,14590,2320,32,32
3,1.75,2110,56192,1,0,0,3,7,1480,630,47.7701,-122.138,2570,46609,58302,49179,2110,37,37
3,3.25,1480,983,2,0,0,3,8,1180,300,47.5555,-122.363,1330,1062,2463,2392,1480,1,1
2,2.25,1330,10838,2,0,0,3,8,1330,0,47.7689,-122.241,1390,10310,12168,11700,1330,29,29
4,1.75,1440,13296,1,0,0,4,8,1440,0,47.634,-122.204,3520,10802,14736,14322,1440,47,47
4,4.5,4240,13162,2,0,0,3,10,4240,0,47.6193,-122.229,3010,12163,17402,15173,4240,10,10
4,2.25,2040,7600,1,0,0,4,8,1580,460,47.3169,-122.365,2130,7200,9640,9330,2040,36,36
3,2.5,1670,3980,2,0,0,3,8,1670,0,47.5317,-122.047,1670,2897,5650,4567,1670,14,14
3,1.75,1410,45302,1,0,0,3,7,1410,0,47.7077,-121.914,2240,49222,46712,51462,1410,35,35
2,1,700,4700,1,0,0,5,5,700,0,47.4953,-122.169,960,5200,5400,6160,700,61,61
4,2.5,3310,5404,2,0,0,3,9,3310,0,47.6635,-122.083,2600,4730,8714,7330,3310,10,10
4,2.25,1990,21312,1,0,0,4,8,1990,0,47.439,-122.144,2400,19210,23302,21610,1990,46,46
4,2.5,2410,6440,1,0,0,3,8,1550,860,47.7153,-122.191,2330,6938,8850,9268,2410,41,41
2,1.5,1380,209959,1,0,0,1,6,1380,0,47.7461,-122.195,3130,19868,211339,22998,1380,60,60
3,2.25,2330,3600,1,0,0,3,8,2330,0,47.631,-122.061,2050,4275,5930,6325,2330,44,44
3,1.5,1190,9135,1,0,0,4,7,1190,0,47.5164,-122.189,1520,9146,10325,10666,1190,55,55
2,1,790,4000,1,0,0,3,6,790,0,47.6844,-122.289,990,5000,4790,5990,790,66,66
4,2.5,2360,43088,2,0,0,3,8,2360,0,47.7661,-122.071,2850,39216,45448,42066,2360,37,37
4,2.5,1980,4745,2,0,0,3,7,1980,0,47.3495,-122.04,1980,4878,6725,6858,1980,10,10
2,1,820,6400,1,0,0,4,7,820,0,47.55,-122.379,1490,6400,7220,7890,820,70,70
4,2.75,1810,7350,1,0,0,4,7,1200,610,47.3703,-122.171,1750,7350,9160,9100,1810,34,34
3,1.5,1320,7560,1,0,0,3,6,840,480,47.7451,-121.98,1210,7560,8880,8770,1320,32,32
1,1,740,5000,1,0,0,3,7,740,0,47.5519,-122.292,1400,4400,5740,5800,740,91,91
4,2,2090,40419,1,0,0,4,7,2090,0,47.4691,-121.993,2380,63162,42509,65542,2090,30,30
3,2.5,2320,5760,1,0,0,3,7,1480,840,47.504,-122.248,1660,5762,8080,7422,2320,27,27
4,1,1530,3900,1,0,0,4,7,1530,0,47.6748,-122.379,1300,3900,5430,5200,1530,107,107
3,2.5,1360,7293,2,0,0,3,8,1360,0,47.3304,-122.302,1540,7353,8653,8893,1360,27,27
6,3,2620,4350,1,0,0,3,7,1760,860,47.678,-122.373,1760,4300,6970,6060,2620,58,58
4,2.5,2181,5521,2,0,0,3,8,2181,0,47.3503,-122.291,2333,5143,7702,7476,2181,9,9
3,2.5,2430,15264,2,0,0,3,8,2430,0,47.3805,-122.208,2260,10416,17694,12676,2430,17,17
2,1,894,1552,2,0,0,3,7,894,0,47.6911,-122.313,1131,1992,2446,3123,894,4,4
4,2.5,2860,3638,1,0,2,5,7,1720,1140,47.6631,-122.361,1760,3880,6498,5640,2860,91,91
4,2.5,2090,6926,2,0,0,3,8,2090,0,47.6339,-122.022,2000,7151,9016,9151,2090,25,25
4,2.75,3410,35040,2,0,0,3,9,3410,0,47.4054,-122.03,2580,37263,38450,39843,3410,30,30
4,2.5,2090,10306,2,0,0,3,10,2090,0,47.6304,-122.051,2660,11481,12396,14141,2090,28,28
5,3.5,5470,35071,2,0,0,3,11,4590,880,47.6368,-122.159,3600,35074,40541,38674,5470,38,38
4,3,3290,10783,2,0,0,3,9,3290,0,47.3904,-122.178,2810,10783,14073,13593,3290,25,25
4,2.5,2340,5600,2,0,0,3,7,2340,0,47.5117,-122.379,1310,5600,7940,6910,2340,93,1
3,3.5,1280,1257,2,0,0,3,8,1040,240,47.6721,-122.374,1280,1249,2537,2529,1280,14,14
4,2,2760,27631,2,0,0,4,8,1800,960,47.7484,-122.291,2490,13158,30391,15648,2760,36,36
3,2.25,2230,11835,1,0,0,5,8,1630,600,47.563,-122.178,2190,10384,14065,12574,2230,40,40
3,2.75,2720,31314,3,0,2,3,8,2720,0,47.3689,-122.163,2290,15188,34034,17478,2720,28,28
2,3.25,1840,1500,3,0,0,3,8,1840,0,47.6595,-122.354,1910,2500,3340,4410,1840,13,13
4,3,3350,23781,1,0,0,4,9,2020,1330,47.56,-122.132,2870,12036,27131,14906,3350,35,35
4,2.5,1750,9000,1,0,0,3,8,1410,340,47.6403,-122.105,2120,9600,10750,11720,1750,37,11
3,1.75,1460,6360,1,0,2,3,7,1010,450,47.5311,-122.353,1400,4240,7820,5640,1460,36,36
3,3,1560,2250,2,0,0,3,9,1560,0,47.6929,-122.333,1610,4500,3810,6110,1560,5,5
3,2.5,1700,6200,2,0,0,3,8,1700,0,47.2621,-122.221,1720,6205,7900,7925,1700,17,17
2,1.5,950,865,3,0,0,3,8,950,0,47.6714,-122.382,1290,1189,1815,2479,950,9,9
4,2.5,2740,12899,2,0,0,4,10,2740,0,47.5811,-122.028,2830,9453,15639,12283,2740,24,24
4,2.5,1840,4593,2,0,0,3,7,1840,0,47.6866,-122.013,1740,3600,6433,5340,1840,4,4
3,2,2140,7200,1,0,0,4,8,1480,660,47.5084,-122.185,2070,7220,9340,9290,2140,48,48
3,2.25,1320,963,2,0,0,3,7,1040,280,47.5199,-122.357,1300,1285,2283,2585,1320,7,7
3,2.25,2390,7000,1,0,0,4,7,1990,400,47.4568,-122.169,1610,7000,9390,8610,2390,45,45
2,1,820,5700,1,0,0,5,5,820,0,47.4915,-122.184,1000,5700,6520,6700,820,72,72
3,1.75,2290,8234,1,0,0,4,7,1250,1040,47.7611,-122.351,1660,7200,10524,8860,2290,64,64
3,1.75,1260,8487,1,0,0,3,7,1260,0,47.7664,-122.201,1890,13051,9747,14941,1260,44,44
3,2.5,1340,8867,2,0,0,3,8,1340,0,47.724,-122.327,1630,7287,10207,8917,1340,30,30
4,5.5,5060,10320,2,0,0,3,11,5060,0,47.6245,-122.21,3010,10080,15380,13090,5060,6,6
3,1.75,1660,4800,2,0,0,3,7,1660,0,47.6296,-122.308,1660,4800,6460,6460,1660,108,0
5,2.5,2900,8711,1,0,0,3,8,1650,1250,47.7752,-122.197,2340,8869,11611,11209,2900,38,38
3,1.75,1770,2800,1,0,0,3,7,1770,0,47.6631,-122.357,1630,3254,4570,4884,1770,101,101
3,2,1200,10212,1,0,0,5,6,1200,0,47.206,-121.998,1280,10212,11412,11492,1200,66,66
3,1,990,4250,1,0,0,4,7,840,150,47.5392,-122.39,990,4500,5240,5490,990,90,90
4,2.5,2070,7476,2,0,0,3,8,2070,0,47.3352,-122.189,2430,5500,9546,7930,2070,11,11
5,2.75,2000,5885,1,0,0,3,7,1260,740,47.3155,-122.347,1960,6514,7885,8474,2000,20,20
